stimulus, response, TF, RT
rightIncongruent,right,1,462.064
leftCongruent,left,1,697.0527
leftIncongruent,left,1,501.9226
leftCongruent,left,1,432.5609
leftCongruent,left,1,446.0221
leftCongruent,left,1,418.1505
rightIncongruent,right,1,558.0027
leftIncongruent,left,1,530.1199
rightCongruent,right,1,432.3604
rightIncongruent,right,1,487.5017
leftCongruent,left,1,321.147
rightCongruent,right,1,335.1295
rightIncongruent,right,1,488.1291
rightIncongruent,right,1,432.3321
rightCongruent,right,1,377.0193
rightCongruent,right,1,473.754
leftIncongruent,left,1,418.1877
leftIncongruent,left,1,487.6223
leftCongruent,left,1,488.6352
rightCongruent,right,1,516.3255
rightIncongruent,right,1,515.7097
leftIncongruent,left,1,557.9866
leftIncongruent,left,1,488.1234
leftIncongruent,left,1,474.2184
rightIncongruent,right,1,460.0685
rightCongruent,right,1,418.8687
rightCongruent,right,1,516.3074
rightIncongruent,right,1,404.4457
leftCongruent,left,1,460.1333
rightCongruent,right,1,388.5223
leftIncongruent,left,1,488.0167
rightCongruent,right,1,377.3906
leftCongruent,left,1,432.8382
leftCongruent,left,1,501.7979
leftIncongruent,left,1,460.5747
leftIncongruent,left,1,418.6652
leftCongruent,left,1,445.993
rightCongruent,right,1,502.1858
rightIncongruent,right,1,516.1517
rightIncongruent,right,1,502.5921
