stimulus, response, TF, RT
rightIncongruent,right,1,698.4027
rightCongruent,right,1,363.4727
rightCongruent,right,1,391.5162
leftIncongruent,left,1,405.8268
rightIncongruent,right,1,391.3239
rightCongruent,right,1,418.9773
rightIncongruent,right,1,405.9016
leftCongruent,left,1,433.4886
leftCongruent,left,1,377.1869
leftIncongruent,left,1,363.643
rightIncongruent,right,1,419.1828
rightCongruent,right,1,390.7781
rightIncongruent,right,1,391.3112
rightCongruent,right,1,377.5404
rightCongruent,right,1,377.6778
rightCongruent,right,1,363.6448
leftIncongruent,left,1,419.3528
leftIncongruent,left,1,391.2531
leftCongruent,left,1,419.5205
leftIncongruent,left,1,377.4238
leftIncongruent,left,1,419.2722
leftCongruent,left,1,391.939
rightCongruent,right,1,349.7514
leftCongruent,left,1,377.9221
leftCongruent,left,1,363.4446
leftCongruent,left,1,391.8564
rightIncongruent,right,1,349.1227
leftIncongruent,left,1,350.2242
leftCongruent,left,1,364.2191
rightIncongruent,right,1,377.7687
leftCongruent,left,1,349.337
rightIncongruent,right,1,391.745
leftIncongruent,left,1,405.5151
leftIncongruent,left,1,391.4542
rightCongruent,right,1,377.7858
rightIncongruent,right,1,378.0444
rightIncongruent,right,1,363.3406
rightCongruent,right,1,391.5765
leftCongruent,left,1,322.2114
leftIncongruent,left,1,461.1528
