stimulus, response, TF, RT
rightCongruent,right,1,631.8137
rightCongruent,right,1,431.6996
rightCongruent,right,1,459.4204
rightCongruent,right,1,403.9467
rightCongruent,right,1,403.9591
leftIncongruent,left,1,445.3346
rightCongruent,right,1,571.2417
rightIncongruent,right,1,501.3573
leftCongruent,left,1,431.922
rightIncongruent,right,1,403.7231
leftCongruent,left,1,361.6455
leftCongruent,left,1,501.9747
leftIncongruent,left,1,612.5188
rightIncongruent,right,1,446.3647
leftIncongruent,left,1,403.6607
leftCongruent,left,1,375.8175
rightIncongruent,right,1,403.7455
rightIncongruent,right,1,543.3977
rightIncongruent,right,1,389.8539
rightCongruent,right,1,431.935
leftCongruent,left,1,390.0653
leftCongruent,right,0,420.022
leftCongruent,left,1,404.2426
leftIncongruent,left,1,459.8953
rightIncongruent,right,1,431.3931
rightCongruent,right,1,390.207
leftIncongruent,left,1,515.5284
leftCongruent,left,1,529.1658
leftIncongruent,left,1,598.6598
rightCongruent,right,1,460.0968
rightIncongruent,right,1,598.6205
rightCongruent,right,1,460.0003
leftIncongruent,left,1,417.4667
leftIncongruent,left,1,529.0321
leftIncongruent,left,1,543.1275
leftCongruent,left,1,501.3405
rightIncongruent,right,1,486.8502
rightIncongruent,right,1,417.8794
leftIncongruent,left,1,446.1638
leftCongruent,left,1,376.1006
