stimulus, response, TF, RT
rightIncongruent,right,1,637.5053
leftIncongruent,left,1,461.0057
rightIncongruent,right,1,377.8192
rightIncongruent,right,1,377.5004
leftCongruent,left,1,335.6074
leftCongruent,left,1,321.9221
rightCongruent,right,1,335.6826
leftCongruent,left,1,321.7818
leftCongruent,left,1,321.619
leftIncongruent,left,1,349.6551
leftIncongruent,left,1,363.5639
rightIncongruent,right,1,335.7709
leftIncongruent,left,1,308.1189
leftCongruent,left,1,335.3854
rightCongruent,right,1,322.2944
rightCongruent,right,1,363.5715
rightCongruent,right,1,307.5941
rightCongruent,right,1,308.6481
rightIncongruent,right,1,349.7401
leftIncongruent,left,1,335.9686
leftCongruent,left,1,293.6866
rightIncongruent,right,1,335.7344
rightCongruent,right,1,322.3383
rightCongruent,right,1,377.522
leftIncongruent,left,1,308.5736
leftIncongruent,left,1,307.3956
leftCongruent,left,1,293.9913
rightCongruent,right,1,335.8284
leftCongruent,left,1,293.8857
rightIncongruent,right,1,335.1312
leftCongruent,left,1,308.2379
leftIncongruent,left,1,294.1831
leftIncongruent,left,1,321.753
rightCongruent,right,1,335.7981
rightCongruent,right,1,350.0261
rightIncongruent,right,1,349.7236
leftIncongruent,left,1,293.8606
rightIncongruent,right,1,321.9719
rightIncongruent,right,1,363.8866
leftCongruent,left,1,349.6729
