stimulus, response, TF, RT
leftIncongruent,left,1,378.8493
leftIncongruent,left,1,363.4524
rightCongruent,right,1,377.0513
rightIncongruent,right,1,447.0194
leftCongruent,left,1,349.1805
leftIncongruent,left,1,419.0053
leftCongruent,left,1,335.5214
rightCongruent,right,1,321.5065
leftIncongruent,left,1,321.5698
leftIncongruent,left,1,335.6543
rightIncongruent,right,1,321.3209
leftCongruent,left,1,335.7025
leftCongruent,left,1,404.732
leftIncongruent,left,1,307.711
rightIncongruent,right,1,349.255
leftCongruent,left,1,308.0022
rightIncongruent,right,1,307.5309
leftCongruent,left,1,321.3654
leftIncongruent,left,1,349.6535
rightCongruent,right,1,349.2225
rightCongruent,right,1,363.7943
leftCongruent,left,1,321.6545
rightIncongruent,right,1,307.2133
rightIncongruent,right,1,335.3649
leftCongruent,left,1,294.0778
leftCongruent,left,1,305.6418
rightCongruent,right,1,307.9242
rightCongruent,right,1,363.3647
leftIncongruent,left,1,321.4356
rightCongruent,right,1,307.5282
rightCongruent,right,1,393.1043
rightIncongruent,right,1,320.9693
rightIncongruent,right,1,363.5988
leftIncongruent,left,1,321.5085
rightIncongruent,right,1,321.4385
rightCongruent,right,1,307.5106
rightCongruent,right,1,335.0518
leftCongruent,left,1,321.8027
leftIncongruent,left,1,363.1726
rightIncongruent,right,1,336.1043
