stimulus, response, TF, RT
rightCongruent,right,1,1148.5369
rightIncongruent,right,1,419.9337
rightCongruent,right,1,405.8374
rightCongruent,right,1,322.0401
rightCongruent,right,1,336.4389
rightCongruent,right,1,294.1401
rightIncongruent,right,1,238.4974
rightIncongruent,right,1,294.5829
leftCongruent,left,1,391.5229
leftIncongruent,right,0,419.2436
leftCongruent,left,1,392.1115
rightIncongruent,right,1,308.1283
rightCongruent,right,1,377.9885
rightIncongruent,right,1,405.6188
rightIncongruent,left,0,280.8551
leftCongruent,left,1,391.5937
leftIncongruent,left,1,434.4237
leftIncongruent,left,1,335.5484
leftIncongruent,left,1,489.6476
rightCongruent,right,1,363.5972
rightCongruent,right,1,405.4363
rightIncongruent,right,1,322.4944
leftCongruent,left,1,322.5338
leftIncongruent,left,1,336.137
rightCongruent,right,1,349.8425
leftCongruent,left,1,350.1173
leftIncongruent,left,1,322.0333
rightCongruent,right,1,364.0303
leftIncongruent,left,1,349.9028
leftCongruent,left,1,336.1817
leftCongruent,left,1,322.0126
leftCongruent,left,1,336.1674
leftCongruent,left,1,363.914
leftIncongruent,right,0,363.9168
leftIncongruent,left,1,293.8913
leftCongruent,left,1,294.2739
rightIncongruent,right,1,406.3695
leftIncongruent,left,1,349.7813
rightIncongruent,right,1,349.4919
rightIncongruent,right,1,336.2899
