stimulus, response, TF, RT
rightIncongruent,right,1,854.4761
leftIncongruent,left,1,489.1824
leftCongruent,left,1,446.8394
rightCongruent,right,1,377.6668
leftIncongruent,left,1,446.8401
leftCongruent,left,1,475.2599
rightCongruent,right,1,474.9372
rightIncongruent,right,1,419.1666
leftIncongruent,left,1,349.0804
rightIncongruent,right,1,447.4206
leftIncongruent,left,1,419.1391
rightCongruent,right,1,377.4584
leftCongruent,left,1,390.8725
rightCongruent,right,1,460.7772
leftCongruent,left,1,405.6693
leftCongruent,left,1,446.9725
rightCongruent,right,1,446.9097
leftIncongruent,left,1,474.8953
rightCongruent,right,1,419.0097
rightIncongruent,right,1,502.2802
leftCongruent,left,1,433.4597
rightIncongruent,right,1,447.1396
leftIncongruent,left,1,447.134
rightIncongruent,right,1,391.3871
rightCongruent,right,1,377.0114
rightIncongruent,right,1,391.6457
leftIncongruent,left,1,377.2065
rightCongruent,right,1,405.2646
leftCongruent,left,1,433.2976
leftCongruent,left,1,391.088
rightIncongruent,right,1,405.0412
rightIncongruent,right,1,335.7277
rightIncongruent,right,1,349.271
rightCongruent,right,1,349.8828
leftIncongruent,left,1,404.9807
leftIncongruent,left,1,377.7469
leftCongruent,left,1,391.5067
leftIncongruent,left,1,349.6668
leftCongruent,left,1,377.8472
rightCongruent,right,1,404.7827
