stimulus, response, TF, RT
rightCongruent,right,1,609.2201
rightCongruent,right,1,350.0406
rightIncongruent,left,0,446.8794
rightIncongruent,right,1,363.9837
rightIncongruent,right,1,489.2338
rightCongruent,right,1,349.5592
rightIncongruent,right,1,391.7398
leftIncongruent,left,1,391.6775
rightCongruent,right,1,349.4324
leftCongruent,left,1,377.755
leftIncongruent,left,1,419.0995
rightIncongruent,right,1,377.5569
leftCongruent,left,1,350.2006
rightIncongruent,right,1,349.3293
leftCongruent,left,1,335.8242
leftCongruent,left,1,363.4346
rightIncongruent,right,1,363.5757
leftIncongruent,left,1,419.0181
rightCongruent,right,1,322.3615
rightCongruent,right,1,363.3769
leftCongruent,left,1,349.3212
leftIncongruent,left,1,364.1435
leftCongruent,left,1,391.5832
rightIncongruent,right,1,350.1714
rightIncongruent,right,1,391.5482
leftIncongruent,left,1,363.9071
leftIncongruent,left,1,363.839
rightIncongruent,right,1,363.5839
leftIncongruent,left,1,336.1877
leftIncongruent,left,1,391.0874
rightCongruent,right,1,364.3534
leftIncongruent,left,1,377.7963
leftCongruent,left,1,391.198
leftCongruent,left,1,336.3017
rightCongruent,right,1,391.6891
leftCongruent,left,1,335.6579
leftIncongruent,left,1,419.2794
leftCongruent,left,1,335.9045
rightCongruent,right,1,350.1564
rightCongruent,right,1,335.5038
