stimulus, response, TF, RT
rightIncongruent,right,1,1592.3288
rightCongruent,right,1,641.5137
rightCongruent,right,1,459.8978
leftCongruent,left,1,431.9697
leftIncongruent,left,1,502.0617
leftIncongruent,left,1,473.6229
rightIncongruent,right,1,404.3805
rightIncongruent,right,1,473.8229
leftCongruent,left,1,418.3602
rightCongruent,right,1,390.5605
rightIncongruent,right,1,432.5016
rightCongruent,right,1,543.6859
rightIncongruent,right,1,501.2486
rightCongruent,right,1,376.689
rightCongruent,right,1,404.4183
leftCongruent,left,1,431.7308
leftCongruent,left,1,530.2219
rightIncongruent,right,1,348.1834
leftIncongruent,left,1,404.7668
leftIncongruent,left,1,445.7195
rightIncongruent,right,1,446.2849
leftIncongruent,left,1,389.9424
leftCongruent,right,0,349.0764
rightIncongruent,right,1,473.8246
leftIncongruent,left,1,474.082
leftIncongruent,left,1,627.7493
leftIncongruent,left,1,460.1871
rightCongruent,right,1,460.4576
leftCongruent,left,1,445.8107
rightIncongruent,right,1,348.7141
leftIncongruent,right,0,431.724
leftCongruent,left,1,529.8918
leftCongruent,left,1,459.9513
rightCongruent,right,1,488.322
leftCongruent,left,1,445.8583
rightIncongruent,right,1,557.5811
leftCongruent,left,1,432.392
leftIncongruent,left,1,487.7548
rightCongruent,right,1,515.8898
rightCongruent,right,1,460.0242
