stimulus, response, TF, RT
leftCongruent,left,1,635.5125
rightIncongruent,right,1,628.0394
rightIncongruent,right,1,474.4268
rightCongruent,right,1,460.8631
rightIncongruent,right,1,419.5125
leftCongruent,left,1,419.3633
leftCongruent,left,1,461.4439
rightIncongruent,right,1,404.9212
leftIncongruent,left,1,391.2964
rightIncongruent,right,1,349.4502
leftIncongruent,left,1,377.1539
rightIncongruent,right,1,391.303
rightCongruent,right,1,488.9376
leftIncongruent,left,1,516.3217
leftCongruent,left,1,488.6533
rightCongruent,right,1,475.2914
rightCongruent,right,1,461.1793
leftCongruent,left,1,419.7227
leftCongruent,left,1,460.7446
rightCongruent,right,1,475.0652
leftIncongruent,left,1,419.5467
leftIncongruent,left,1,447.1446
rightIncongruent,right,1,447.5327
rightIncongruent,right,1,446.7658
leftIncongruent,left,1,461.2617
leftCongruent,left,1,447.2367
leftCongruent,left,1,474.7367
leftIncongruent,left,1,377.3482
leftCongruent,left,1,391.7127
rightCongruent,right,1,446.9412
leftIncongruent,left,1,377.6925
rightIncongruent,right,1,363.7844
rightCongruent,right,1,516.5044
rightIncongruent,left,0,377.4663
rightCongruent,right,1,433.4355
leftIncongruent,left,1,432.5766
leftIncongruent,left,1,405.0524
leftCongruent,left,1,447.0368
rightCongruent,right,1,363.9821
rightCongruent,right,1,419.0385
