stimulus, response, TF, RT
leftCongruent,left,1,1707.8572
leftCongruent,left,1,531.2482
leftIncongruent,left,1,433.5786
rightCongruent,right,1,391.9944
rightCongruent,right,1,336.0802
rightIncongruent,right,1,405.3445
leftCongruent,left,1,461.2825
leftCongruent,left,1,419.2029
rightIncongruent,right,1,363.2661
rightCongruent,right,1,350.2997
rightIncongruent,right,1,349.318
leftIncongruent,left,1,391.9433
rightIncongruent,right,1,433.1742
rightCongruent,right,1,377.692
leftCongruent,left,1,461.2935
rightCongruent,right,1,363.4137
rightIncongruent,right,1,294.3275
rightCongruent,right,1,336.1882
rightCongruent,right,1,350.0581
rightIncongruent,right,1,349.3485
leftIncongruent,left,1,392.3539
leftCongruent,left,1,405.1156
rightCongruent,right,1,447.7754
rightIncongruent,right,1,363.9856
leftIncongruent,left,1,447.0774
leftIncongruent,left,1,475.5439
rightIncongruent,right,1,419.1756
leftIncongruent,left,1,419.7659
leftIncongruent,left,1,447.0764
leftIncongruent,left,1,377.4671
leftCongruent,left,1,503.324
leftIncongruent,left,1,363.6892
rightCongruent,right,1,377.5749
leftCongruent,left,1,377.4049
leftCongruent,left,1,350.2126
leftCongruent,left,1,377.4263
rightCongruent,right,1,404.9777
leftIncongruent,left,1,405.1998
rightIncongruent,right,1,461.123
rightIncongruent,right,1,364.3458
