stimulus, response, TF, RT
rightIncongruent,right,1,581.8493
rightIncongruent,right,1,683.6832
leftCongruent,left,1,447.2211
rightIncongruent,right,1,558.4671
rightCongruent,right,1,433.3828
rightIncongruent,right,1,461.4559
rightCongruent,right,1,432.9578
rightIncongruent,right,1,586.801
rightIncongruent,right,1,474.8834
leftCongruent,left,1,432.9753
rightIncongruent,right,1,475.1137
leftIncongruent,left,1,461.0648
leftIncongruent,left,1,461.1256
rightIncongruent,right,1,503.1241
leftIncongruent,left,1,447.1778
rightCongruent,right,1,447.4744
leftCongruent,left,1,488.8375
leftIncongruent,left,1,475.0843
leftCongruent,left,1,419.5867
leftCongruent,left,1,433.551
rightCongruent,right,1,391.7596
leftCongruent,left,1,474.5898
leftIncongruent,left,1,433.3899
rightCongruent,right,1,461.2394
rightCongruent,right,1,474.7142
rightCongruent,right,1,475.2375
leftCongruent,left,1,419.5528
leftIncongruent,left,1,419.2294
leftCongruent,left,1,503.0351
leftIncongruent,left,1,447.059
leftIncongruent,left,1,433.4109
rightCongruent,right,1,446.9215
leftCongruent,left,1,405.6409
rightIncongruent,right,1,461.472
rightIncongruent,right,1,489.3177
leftIncongruent,left,1,447.0392
rightCongruent,right,1,433.8094
rightCongruent,right,1,460.8112
leftIncongruent,left,1,419.2936
leftCongruent,left,1,405.4483
