stimulus, response, TF, RT
rightIncongruent,right,1,617.5501
leftCongruent,left,1,446.7566
leftCongruent,left,1,503.1337
leftCongruent,left,1,460.4517
leftCongruent,left,1,404.8899
leftIncongruent,left,1,586.3498
leftIncongruent,left,1,446.6694
leftCongruent,left,1,405.6178
rightCongruent,right,1,391.3993
leftCongruent,left,1,377.7207
rightCongruent,right,1,404.7198
rightIncongruent,right,1,405.3335
leftIncongruent,left,1,530.2199
leftIncongruent,left,1,488.7106
rightCongruent,right,1,419.0882
rightIncongruent,right,1,488.368
rightIncongruent,right,1,433.3823
leftCongruent,left,1,377.2837
rightCongruent,right,1,391.3225
rightIncongruent,right,1,404.7659
rightIncongruent,right,1,475.0523
leftIncongruent,left,1,390.7126
leftIncongruent,left,1,433.5379
leftIncongruent,left,1,419.2913
rightCongruent,right,1,433.1274
rightCongruent,right,1,447.3877
rightCongruent,right,1,446.5712
rightCongruent,right,1,418.7926
leftCongruent,left,1,377.2473
leftIncongruent,left,1,391.4184
leftIncongruent,left,1,488.8945
leftIncongruent,left,1,377.79
leftCongruent,left,1,377.4974
rightIncongruent,right,1,419.0269
rightCongruent,right,1,363.2657
rightCongruent,right,1,419.0586
leftCongruent,left,1,363.6951
rightIncongruent,right,1,377.2076
rightIncongruent,right,1,363.5165
rightIncongruent,left,0,446.9125
