stimulus, response, TF, RT
rightIncongruent,right,1,683.9017
rightCongruent,right,1,420.5877
leftIncongruent,left,1,446.0119
rightIncongruent,right,1,432.5937
leftCongruent,left,1,388.811
rightIncongruent,right,1,379.445
rightIncongruent,right,1,430.1547
rightCongruent,right,1,460.1749
rightIncongruent,right,1,426.359
rightCongruent,right,1,434.4815
leftIncongruent,left,1,461.196
rightIncongruent,right,1,418.5422
leftCongruent,left,1,371.6554
leftIncongruent,left,1,418.0718
leftIncongruent,left,1,418.9582
leftCongruent,left,1,347.8148
rightCongruent,right,1,474.281
leftCongruent,left,1,377.8225
rightCongruent,right,1,403.4456
leftCongruent,left,1,404.1024
leftCongruent,left,1,402.8063
leftIncongruent,left,1,406.1136
leftIncongruent,left,1,390.536
rightIncongruent,right,1,448.5694
leftCongruent,left,1,371.1154
rightCongruent,right,1,403.6948
rightIncongruent,right,1,392.5865
leftCongruent,left,1,377.9234
rightCongruent,right,1,432.692
leftIncongruent,left,1,376.9759
leftIncongruent,left,1,365.5959
leftCongruent,left,1,379.0074
rightCongruent,right,1,460.208
leftIncongruent,left,1,422.0835
rightIncongruent,right,1,470.505
rightIncongruent,left,0,408.2609
leftCongruent,left,1,405.2972
rightCongruent,right,1,422.9687
leftIncongruent,left,1,446.5146
rightCongruent,right,1,396.1523
