stimulus, response, TF, RT
rightCongruent,left,0,258.9754
rightCongruent,left,0,209.096
rightIncongruent,left,0,154.262
rightIncongruent,left,0,223.3156
rightCongruent,left,0,236.8141
leftIncongruent,left,1,237.7318
leftIncongruent,left,1,307.6015
leftCongruent,left,1,195.5928
leftIncongruent,left,1,237.5483
leftIncongruent,left,1,265.875
leftIncongruent,left,1,265.3961
leftCongruent,left,1,237.6843
leftCongruent,left,1,279.3804
rightCongruent,left,0,209.9391
rightCongruent,left,0,265.1636
rightCongruent,left,0,292.8894
rightCongruent,left,0,209.6227
rightIncongruent,left,0,265.6945
leftIncongruent,left,1,279.0869
leftIncongruent,left,1,293.328
rightIncongruent,left,0,223.8625
leftIncongruent,left,1,265.0331
rightCongruent,left,0,237.5236
rightIncongruent,left,0,251.6882
rightCongruent,left,0,223.79
rightIncongruent,left,0,250.9877
rightIncongruent,left,0,237.9414
leftCongruent,left,1,223.8387
leftCongruent,left,1,251.3238
leftCongruent,left,1,251.5648
rightCongruent,left,0,265.6458
leftCongruent,left,1,279.4529
leftCongruent,left,1,209.5181
rightIncongruent,left,0,404.7077
rightIncongruent,left,0,529.6824
leftIncongruent,left,1,251.1386
rightIncongruent,left,0,279.1145
leftCongruent,left,1,418.8591
leftCongruent,left,1,362.5209
leftIncongruent,left,1,279.4496
