stimulus, response, TF, RT
leftIncongruent,left,1,447.1575
leftCongruent,left,1,210.0884
rightCongruent,left,0,308.0476
leftIncongruent,left,1,293.1087
leftIncongruent,left,1,382.5642
leftCongruent,left,1,279.956
leftCongruent,left,1,293.7574
rightCongruent,left,0,279.8349
leftIncongruent,left,1,279.5708
rightIncongruent,left,0,251.826
rightCongruent,left,0,224.2914
rightIncongruent,left,0,210.1999
leftCongruent,left,1,210.5333
rightCongruent,left,0,251.7367
leftCongruent,left,1,237.7761
leftCongruent,left,1,266.2674
rightIncongruent,left,0,293.3299
leftIncongruent,left,1,252.4721
rightIncongruent,left,0,280.1316
rightIncongruent,left,0,238.1017
leftCongruent,left,1,238.3629
rightCongruent,left,0,265.7883
leftIncongruent,left,1,238.0399
rightCongruent,left,0,266.2321
rightIncongruent,left,0,265.7834
rightCongruent,left,0,280.0775
rightCongruent,left,0,265.6869
rightCongruent,left,0,294.5541
leftIncongruent,left,1,266.4227
leftIncongruent,left,1,307.4965
leftCongruent,left,1,279.9117
rightCongruent,left,0,279.371
leftCongruent,left,1,252.123
leftIncongruent,left,1,182.2469
leftCongruent,left,1,265.8074
leftIncongruent,left,1,266.219
rightIncongruent,left,0,251.6663
rightIncongruent,left,0,294.1841
rightIncongruent,left,0,252.0096
rightIncongruent,left,0,349.5078
