stimulus, response, TF, RT
leftCongruent,left,1,942.8498
leftCongruent,left,1,265.8193
rightIncongruent,left,0,237.6483
leftCongruent,left,1,237.1564
rightCongruent,left,0,140.2299
leftIncongruent,left,1,292.7606
rightCongruent,left,0,251.4328
rightIncongruent,left,0,223.3898
rightCongruent,left,0,293.682
leftCongruent,left,1,279.1163
leftIncongruent,left,1,391.1465
leftIncongruent,left,1,334.8567
leftCongruent,left,1,250.8649
leftIncongruent,left,1,265.9014
leftIncongruent,left,1,209.5888
leftCongruent,left,1,223.4786
rightIncongruent,left,0,265.8265
leftIncongruent,left,1,251.2054
rightIncongruent,left,0,265.6335
leftCongruent,left,1,279.3478
rightCongruent,left,0,335.5132
rightIncongruent,left,0,237.9358
leftIncongruent,left,1,140.264
leftIncongruent,left,1,321.4309
rightCongruent,left,0,237.6435
rightIncongruent,left,0,251.4212
leftIncongruent,left,1,223.7502
leftIncongruent,left,1,251.5114
rightIncongruent,left,0,224.119
rightCongruent,left,0,529.7821
rightIncongruent,left,0,488.6319
rightCongruent,left,0,251.4531
rightCongruent,left,0,210.0892
rightIncongruent,left,0,251.9157
leftCongruent,left,1,251.3074
leftCongruent,left,1,307.4069
rightIncongruent,left,0,251.3309
rightCongruent,left,0,237.7407
leftCongruent,left,1,279.7442
rightCongruent,left,0,349.4565
