stimulus, response, TF, RT
leftIncongruent,left,1,339.1168
leftCongruent,left,1,349.8948
leftIncongruent,right,0,377.4561
rightIncongruent,right,1,364.5254
leftIncongruent,left,1,364.0713
leftCongruent,left,1,390.4211
rightCongruent,right,1,364.0553
rightCongruent,right,1,377.5832
rightIncongruent,right,1,364.2056
leftCongruent,left,1,322.153
rightCongruent,right,1,322.3474
leftIncongruent,left,1,306.9504
rightCongruent,right,1,322.3705
rightIncongruent,right,1,377.7024
leftIncongruent,left,1,238.2003
rightCongruent,right,1,266.8943
leftCongruent,left,1,252.2438
rightCongruent,right,1,308.3316
leftCongruent,left,1,280.2001
leftCongruent,left,1,363.758
leftCongruent,left,1,307.7214
rightIncongruent,right,1,336.0358
leftCongruent,left,1,322.1058
rightIncongruent,right,1,350.1817
leftCongruent,left,1,238.5035
leftCongruent,left,1,322.1234
rightIncongruent,right,1,363.4084
rightIncongruent,right,1,349.8818
rightCongruent,right,1,335.8972
rightIncongruent,right,1,336.6531
rightCongruent,right,1,322.0191
rightIncongruent,right,1,363.8617
leftIncongruent,left,1,335.4945
rightCongruent,right,1,322.5728
leftIncongruent,left,1,322.1854
rightCongruent,right,1,322.2047
rightIncongruent,right,1,321.8323
leftIncongruent,left,1,322.5536
leftIncongruent,left,1,294.1368
leftIncongruent,left,1,266.4179
