stimulus, response, TF, RT
leftIncongruent,left,1,750.6565
leftIncongruent,left,1,376.6352
rightCongruent,right,1,320.8649
rightCongruent,right,1,307.6877
leftIncongruent,left,1,265.0659
rightCongruent,right,1,320.2758
leftIncongruent,left,1,321.7724
leftCongruent,left,1,308.124
rightCongruent,right,1,321.6863
leftCongruent,left,1,266.1938
leftCongruent,left,1,308.4104
rightIncongruent,right,1,419.1869
leftCongruent,left,1,280.3347
rightIncongruent,right,1,321.5224
rightIncongruent,left,0,238.5619
rightIncongruent,right,1,377.3591
rightIncongruent,right,1,321.6142
rightIncongruent,right,1,377.5553
leftCongruent,left,1,349.6043
leftCongruent,left,1,308.5033
rightIncongruent,left,0,377.4654
leftIncongruent,left,1,405.0277
rightCongruent,right,1,321.7861
rightCongruent,right,1,294.6707
leftIncongruent,left,1,266.2049
leftCongruent,left,1,363.9505
rightCongruent,right,1,266.4302
leftCongruent,left,1,293.7646
rightCongruent,right,1,293.6305
rightCongruent,right,1,322.0025
leftIncongruent,left,1,252.6271
leftIncongruent,left,1,433.5202
leftCongruent,left,1,307.2785
rightIncongruent,right,1,294.2992
leftCongruent,left,1,294.0907
leftIncongruent,right,0,266.205
leftIncongruent,left,1,377.9206
rightIncongruent,right,1,293.8527
rightIncongruent,right,1,321.4415
rightCongruent,right,1,335.8322
