stimulus, response, TF, RT
rightCongruent,right,1,507.3057
rightCongruent,right,1,461.1311
leftIncongruent,left,1,404.7896
leftCongruent,left,1,404.5071
rightCongruent,right,1,335.3435
leftIncongruent,left,1,446.2591
rightIncongruent,right,1,572.6856
rightIncongruent,right,1,460.4761
rightCongruent,right,1,474.8241
rightIncongruent,right,1,363.1183
rightCongruent,right,1,377.3823
leftIncongruent,left,1,335.4741
leftCongruent,left,1,377.4708
leftCongruent,left,1,349.0523
leftCongruent,right,0,293.4908
leftIncongruent,left,1,433.0598
rightIncongruent,right,1,390.8841
leftCongruent,left,1,377.391
leftIncongruent,left,1,433.148
rightIncongruent,right,1,362.993
leftCongruent,left,1,405.3027
rightIncongruent,right,1,363.4319
rightCongruent,right,1,432.8009
rightIncongruent,right,1,460.6541
rightIncongruent,right,1,348.9938
leftIncongruent,left,1,377.2282
leftCongruent,left,1,391.6958
leftIncongruent,left,1,418.713
leftIncongruent,left,1,335.4104
leftIncongruent,left,1,349.3935
leftCongruent,left,1,404.9644
rightCongruent,right,1,363.4767
rightIncongruent,right,1,627.5407
rightCongruent,right,1,349.6268
leftIncongruent,left,1,376.8301
leftCongruent,left,1,405.1377
rightCongruent,right,1,376.9486
leftCongruent,left,1,363.1935
rightCongruent,right,1,321.9229
rightIncongruent,right,1,363.3839
