stimulus, response, TF, RT
rightCongruent,right,1,582.4497
leftCongruent,left,1,2075.4573
rightIncongruent,right,1,390.972
rightIncongruent,right,1,446.197
leftCongruent,left,1,349.7731
rightIncongruent,right,1,350.1051
leftIncongruent,left,1,308.0907
rightCongruent,right,1,293.6907
rightIncongruent,right,1,363.8986
leftCongruent,left,1,307.7875
rightIncongruent,right,1,307.6866
leftIncongruent,left,1,321.437
rightCongruent,right,1,308.2733
rightIncongruent,right,1,460.984
leftIncongruent,left,1,321.6485
leftIncongruent,left,1,335.8564
rightIncongruent,right,1,390.8002
leftIncongruent,left,1,377.6343
rightCongruent,right,1,336.2236
leftCongruent,left,1,335.7784
rightIncongruent,right,1,307.6544
rightIncongruent,right,1,433.6177
leftCongruent,left,1,307.6661
rightCongruent,right,1,308.1918
rightCongruent,right,1,349.7603
leftIncongruent,left,1,321.9959
rightIncongruent,right,1,363.5656
leftCongruent,left,1,294.0521
leftCongruent,left,1,390.9519
rightCongruent,right,1,321.8429
rightCongruent,right,1,433.4929
leftCongruent,left,1,335.5237
leftCongruent,left,1,363.5368
rightCongruent,right,1,335.7668
leftIncongruent,left,1,322.1105
leftIncongruent,left,1,350.0034
rightCongruent,right,1,321.6468
leftIncongruent,left,1,307.757
leftIncongruent,left,1,350.0412
leftCongruent,left,1,446.9002
