stimulus, response, TF, RT
rightCongruent,right,1,382.6354
rightCongruent,right,1,586.7416
leftIncongruent,left,1,642.0975
rightCongruent,right,1,447.9492
leftCongruent,left,1,391.8165
rightCongruent,right,1,377.6636
leftIncongruent,left,1,377.6767
leftIncongruent,left,1,517.4626
leftCongruent,left,1,363.689
rightIncongruent,right,1,517.3278
rightCongruent,right,1,517.0336
rightIncongruent,right,1,419.3917
leftIncongruent,left,1,405.5341
rightIncongruent,right,1,460.9741
rightCongruent,right,1,349.9056
leftCongruent,left,1,391.6019
leftIncongruent,left,1,489.5459
rightCongruent,right,1,503.0597
leftCongruent,left,1,336.2893
leftIncongruent,left,1,364.1611
leftIncongruent,left,1,363.8454
rightIncongruent,right,1,447.6494
rightIncongruent,right,1,503.0308
rightCongruent,right,1,391.7599
leftCongruent,right,0,321.908
rightIncongruent,right,1,488.7634
rightIncongruent,right,1,531.4581
leftIncongruent,left,1,461.3478
leftCongruent,left,1,433.2216
rightIncongruent,right,1,419.3989
leftCongruent,left,1,544.686
rightCongruent,right,1,392.4586
rightCongruent,right,1,335.9125
rightIncongruent,right,1,307.7506
rightIncongruent,right,1,433.9855
leftIncongruent,left,1,419.4157
leftCongruent,left,1,349.8191
leftCongruent,left,1,406.272
leftIncongruent,left,1,405.5189
leftCongruent,left,1,335.7391
