stimulus, response, TF, RT
leftCongruent,left,1,462.8094
rightCongruent,right,1,391.4691
rightIncongruent,right,1,391.0107
leftIncongruent,left,1,405.0765
rightIncongruent,right,1,321.5387
leftCongruent,left,1,293.3375
leftCongruent,left,1,502.5568
leftIncongruent,left,1,502.6734
rightIncongruent,right,1,418.7618
rightIncongruent,right,1,391.1392
leftIncongruent,left,1,376.9812
rightIncongruent,right,1,377.5959
rightIncongruent,right,1,349.3152
leftCongruent,left,1,377.243
leftIncongruent,left,1,390.7041
rightCongruent,right,1,405.3917
rightCongruent,right,1,391.0102
rightIncongruent,right,1,447.0492
rightCongruent,right,1,376.9081
leftCongruent,left,1,473.8404
leftCongruent,left,1,447.3468
rightCongruent,right,1,362.9135
leftIncongruent,left,1,349.0226
leftIncongruent,left,1,377.117
rightIncongruent,right,1,335.5841
rightCongruent,right,1,516.9344
leftCongruent,left,1,349.0108
rightCongruent,right,1,432.0388
leftCongruent,left,1,474.8964
rightCongruent,right,1,446.5166
leftIncongruent,left,1,362.68
leftCongruent,left,1,390.9526
rightCongruent,right,1,390.8121
rightIncongruent,left,0,460.4809
leftIncongruent,left,1,516.1681
leftCongruent,left,1,446.7143
rightCongruent,right,1,405.2475
rightIncongruent,right,1,502.5457
leftIncongruent,left,1,432.9844
leftIncongruent,left,1,419.4597
