stimulus, response, TF, RT
rightCongruent,right,1,1130.4185
rightIncongruent,right,1,488.0816
rightIncongruent,right,1,460.2023
rightCongruent,right,1,488.0173
leftCongruent,left,1,418.4055
rightIncongruent,right,1,418.6345
leftIncongruent,left,1,515.8591
leftIncongruent,left,1,376.3429
rightIncongruent,right,1,362.2897
rightCongruent,right,1,404.0825
leftCongruent,left,1,404.4225
rightCongruent,right,1,376.5205
leftCongruent,left,1,418.2899
leftIncongruent,left,1,474.298
rightIncongruent,right,1,404.3725
rightIncongruent,right,1,390.4604
rightCongruent,right,1,418.6474
rightCongruent,right,1,348.2634
rightCongruent,right,1,362.6672
rightIncongruent,right,1,265.0488
leftCongruent,left,1,348.3697
rightIncongruent,right,1,334.5899
leftCongruent,left,1,349.2679
leftCongruent,left,1,376.5907
leftIncongruent,right,0,404.4118
leftIncongruent,left,1,501.7706
leftIncongruent,left,1,446.101
leftIncongruent,left,1,418.3927
leftCongruent,left,1,460.0713
rightCongruent,right,1,460.1844
leftCongruent,left,1,418.6297
leftCongruent,left,1,320.9802
rightCongruent,right,1,362.5808
rightIncongruent,right,1,418.4533
leftIncongruent,left,1,404.8555
leftIncongruent,left,1,334.4093
leftCongruent,left,1,320.7236
rightCongruent,right,1,362.9075
leftIncongruent,left,1,362.9574
rightIncongruent,right,1,403.8839
