stimulus, response, TF, RT
rightCongruent,right,1,1097.0111
rightIncongruent,right,1,1128.6551
rightCongruent,right,1,1086.8818
leftIncongruent,left,1,515.8661
leftCongruent,left,1,349.6259
rightCongruent,right,1,670.7053
leftCongruent,left,1,447.2762
leftIncongruent,left,1,447.0853
leftCongruent,left,1,517.0503
rightIncongruent,right,1,406.1102
rightIncongruent,right,1,475.6114
rightIncongruent,right,1,544.6815
rightCongruent,right,1,489.7683
rightIncongruent,right,1,447.3698
rightCongruent,right,1,531.3634
leftCongruent,left,1,391.888
rightCongruent,right,1,531.5218
leftCongruent,left,1,391.5358
leftCongruent,left,1,461.6253
rightIncongruent,right,1,419.7512
rightIncongruent,right,1,447.4023
rightCongruent,right,1,586.6418
leftIncongruent,left,1,419.8127
leftIncongruent,left,1,503.4532
leftCongruent,left,1,433.7274
leftIncongruent,left,1,614.228
leftCongruent,left,1,392.0901
rightCongruent,right,1,433.8995
rightCongruent,right,1,447.5119
leftIncongruent,left,1,489.2581
leftIncongruent,left,1,489.3688
leftIncongruent,left,1,586.4115
leftCongruent,left,1,503.4494
rightIncongruent,right,1,461.6654
leftIncongruent,left,1,474.7782
rightIncongruent,right,1,392.1637
leftCongruent,left,1,378.0094
leftIncongruent,left,1,447.0751
rightCongruent,right,1,475.5009
rightIncongruent,right,1,419.6168
