stimulus, response, TF, RT
leftIncongruent,left,1,680.8653
leftCongruent,left,1,377.5409
leftCongruent,left,1,336.0733
leftCongruent,left,1,391.5322
rightCongruent,right,1,432.8801
leftCongruent,left,1,308.0158
rightIncongruent,right,1,349.1855
rightCongruent,right,1,349.5352
rightIncongruent,right,1,377.3595
rightCongruent,right,1,335.551
rightCongruent,right,1,293.3085
rightCongruent,right,1,335.8715
leftIncongruent,left,1,475.2186
leftIncongruent,left,1,391.7822
leftCongruent,left,1,349.2925
leftIncongruent,left,1,294.0145
leftIncongruent,left,1,265.4912
rightIncongruent,right,1,294.0554
leftIncongruent,left,1,307.4699
rightIncongruent,right,1,293.8919
leftCongruent,left,1,489.1619
rightCongruent,right,1,349.7806
rightIncongruent,right,1,433.3237
rightIncongruent,right,1,335.8408
leftIncongruent,left,1,377.6277
leftCongruent,left,1,390.8358
leftIncongruent,left,1,377.6945
rightCongruent,right,1,321.443
leftIncongruent,left,1,322.0352
rightIncongruent,right,1,293.3535
rightIncongruent,right,1,461.1803
rightCongruent,right,1,293.8991
rightCongruent,right,1,405.0402
leftIncongruent,left,1,350.0908
leftCongruent,left,1,349.6084
rightCongruent,right,1,433.215
leftCongruent,left,1,294.2655
rightIncongruent,right,1,307.5311
rightIncongruent,right,1,350.0284
leftCongruent,left,1,307.5809
