stimulus, response, TF, RT
rightIncongruent,right,1,705.9315
leftCongruent,left,1,363.6432
rightCongruent,right,1,321.5515
rightIncongruent,right,1,363.7048
rightCongruent,right,1,392.1245
rightCongruent,right,1,405.3545
rightIncongruent,right,1,405.5047
leftIncongruent,left,1,335.6134
rightCongruent,right,1,378.0081
leftIncongruent,left,1,419.4768
leftCongruent,left,1,349.805
leftCongruent,left,1,349.6033
leftIncongruent,left,1,377.8686
leftIncongruent,left,1,377.3529
rightIncongruent,right,1,447.0489
leftCongruent,left,1,322.1223
rightIncongruent,right,1,321.8691
rightIncongruent,right,1,460.9196
leftCongruent,left,1,405.2622
rightCongruent,right,1,307.9343
leftCongruent,left,1,349.7915
leftCongruent,left,1,739.7957
leftIncongruent,left,1,349.8427
rightCongruent,right,1,349.8996
leftIncongruent,left,1,349.82
leftCongruent,left,1,349.7297
leftIncongruent,left,1,628.6209
leftIncongruent,left,1,322.064
rightCongruent,right,1,377.4671
rightIncongruent,right,1,432.6259
leftIncongruent,left,1,322.3007
rightCongruent,right,1,377.0065
rightCongruent,right,1,363.9296
leftIncongruent,left,1,308.4743
rightIncongruent,right,1,405.395
leftCongruent,left,1,336.1625
rightIncongruent,right,1,377.2722
rightIncongruent,right,1,349.4295
leftCongruent,left,1,350.3162
rightCongruent,right,1,294.1408
