stimulus, response, TF, RT
leftCongruent,left,1,592.2423
rightIncongruent,right,1,405.0045
rightCongruent,right,1,404.3977
leftCongruent,left,1,390.7803
rightCongruent,right,1,322.307
leftIncongruent,left,1,294.494
rightIncongruent,left,0,378.0456
leftIncongruent,left,1,558.6044
leftIncongruent,left,1,544.6181
leftIncongruent,left,1,531.403
leftCongruent,left,1,433.6956
rightCongruent,right,1,405.7915
rightIncongruent,right,1,392.0528
rightIncongruent,right,1,433.1276
leftCongruent,left,1,405.8323
rightIncongruent,right,1,503.1568
rightIncongruent,right,1,419.2231
rightIncongruent,right,1,377.7803
rightCongruent,right,1,377.7916
rightCongruent,right,1,378.2177
leftIncongruent,left,1,488.8087
leftCongruent,left,1,405.88
leftCongruent,left,1,433.2592
rightCongruent,right,1,433.8209
leftIncongruent,left,1,502.842
leftIncongruent,left,1,433.5281
leftCongruent,left,1,350.0135
rightCongruent,right,1,391.4773
leftIncongruent,left,1,308.1956
rightCongruent,right,1,336.0539
leftIncongruent,left,1,336.059
rightIncongruent,right,1,405.6622
rightIncongruent,right,1,433.304
leftCongruent,left,1,350.3811
leftCongruent,left,1,364.1648
leftCongruent,left,1,363.6693
rightCongruent,right,1,336.3204
leftIncongruent,left,1,349.6792
rightCongruent,right,1,363.8999
rightIncongruent,right,1,322.0661
