ID,controll_RT_ave,controll_error_rate,2D_RT_ave,2D_error_rate,barrier_RT_ave,barrier_error_rate,far_RT_ave,far_error_rate
AHA2,355.39752,0.6,258.46814,0.6,633.04158,0.4,283.3359,0.8
LD18,419.71112,0,451.31248,0,518.84988,0,400.61214,0.2
