stimulus, response, TF, RT
rightCongruent,right,1,412.908
rightCongruent,right,1,502.2596
leftIncongruent,left,1,585.7158
rightIncongruent,right,1,404.8143
leftIncongruent,left,1,432.5833
rightIncongruent,right,1,473.9235
leftCongruent,left,1,460.1663
rightIncongruent,right,1,516.1293
rightIncongruent,right,1,683.5451
rightCongruent,right,1,530.4393
leftCongruent,left,1,543.421
rightCongruent,right,1,557.8448
leftCongruent,left,1,474.4668
leftCongruent,left,1,446.6491
leftIncongruent,left,1,446.7459
rightCongruent,right,1,432.7818
rightCongruent,right,1,418.3207
rightCongruent,right,1,376.9911
rightCongruent,right,1,446.1809
leftIncongruent,left,1,418.984
leftCongruent,left,1,404.4286
leftCongruent,left,1,488.6373
leftCongruent,left,1,502.2652
rightIncongruent,right,1,920.2107
rightCongruent,right,1,557.9865
leftCongruent,left,1,433.0888
leftIncongruent,left,1,417.0721
leftIncongruent,left,1,348.5673
rightIncongruent,right,1,363.0707
leftIncongruent,left,1,405.0955
leftIncongruent,left,1,377.0769
rightCongruent,right,1,432.1518
rightIncongruent,right,1,474.6254
leftCongruent,left,1,404.8747
leftIncongruent,left,1,376.4969
rightIncongruent,right,1,461.0282
leftIncongruent,left,1,405.0475
rightIncongruent,right,1,446.2831
leftCongruent,left,1,585.5657
rightIncongruent,right,1,390.3635
