stimulus, response, TF, RT
leftIncongruent,left,1,360.6666
leftIncongruent,left,1,474.6701
rightIncongruent,right,1,711.6737
leftIncongruent,left,1,419.2421
leftCongruent,left,1,363.1044
rightCongruent,right,1,321.6565
rightIncongruent,right,1,335.4368
rightCongruent,right,1,349.8449
leftCongruent,left,1,377.5539
leftCongruent,left,1,390.6927
rightCongruent,right,1,405.5889
leftIncongruent,left,1,363.1757
leftIncongruent,left,1,349.5585
rightCongruent,right,1,307.6844
rightCongruent,right,1,349.2333
rightIncongruent,right,1,335.4944
rightIncongruent,right,1,349.8012
rightCongruent,right,1,335.1541
rightCongruent,right,1,335.3583
rightIncongruent,right,1,321.6142
leftIncongruent,right,0,335.2238
leftCongruent,left,1,391.2837
leftCongruent,left,1,349.6227
leftCongruent,left,1,349.2246
leftIncongruent,left,1,405.0613
rightCongruent,right,1,656.032
leftIncongruent,left,1,461.0439
leftCongruent,left,1,377.4583
rightCongruent,right,1,474.8085
leftIncongruent,left,1,377.1992
rightIncongruent,right,1,488.5661
rightIncongruent,right,1,725.5295
rightIncongruent,right,1,461.005
rightCongruent,right,1,391.4078
leftIncongruent,left,1,377.5037
rightIncongruent,right,1,363.2808
leftCongruent,left,1,363.0815
leftCongruent,left,1,447.2106
leftCongruent,left,1,558.2015
rightIncongruent,right,1,572.7215
