stimulus, response, TF, RT
rightCongruent,right,1,590.6999
rightIncongruent,right,1,515.9289
rightCongruent,right,1,460.4392
leftIncongruent,left,1,529.3134
leftIncongruent,left,1,557.4715
leftCongruent,left,1,641.4034
rightCongruent,right,1,460.1078
rightIncongruent,right,1,502.3216
leftIncongruent,left,1,501.7151
leftIncongruent,left,1,529.5909
rightCongruent,right,1,474.5673
rightCongruent,right,1,516.3563
rightIncongruent,right,1,446.1668
rightIncongruent,right,1,432.5501
leftIncongruent,left,1,474.0777
rightCongruent,right,1,501.9988
leftCongruent,left,1,586.0129
leftCongruent,left,1,529.7705
leftCongruent,left,1,501.7624
leftIncongruent,left,1,753.2241
rightCongruent,right,1,626.9778
rightCongruent,right,1,710.7224
leftIncongruent,left,1,724.7142
leftCongruent,left,1,668.8052
leftIncongruent,left,1,543.3005
rightIncongruent,right,1,586.0555
leftIncongruent,left,1,1087.1477
leftCongruent,left,1,640.7934
rightCongruent,right,1,669.0248
leftCongruent,left,1,417.9412
leftCongruent,left,1,585.6675
rightIncongruent,right,1,515.5332
rightIncongruent,right,1,599.3236
leftCongruent,left,1,487.9412
leftIncongruent,left,1,502.2242
rightIncongruent,right,1,460.5164
rightCongruent,right,1,390.0536
rightIncongruent,right,1,390.8846
rightIncongruent,right,1,376.5548
leftCongruent,left,1,376.6942
