stimulus, response, TF, RT
rightCongruent,right,1,1063.1255
leftIncongruent,left,1,599.1348
leftIncongruent,left,1,654.7196
leftCongruent,left,1,612.9946
leftCongruent,left,1,793.8347
rightCongruent,right,1,835.1156
rightIncongruent,right,1,724.4962
leftIncongruent,left,1,751.8572
leftCongruent,left,1,765.7353
rightIncongruent,right,1,710.7798
rightIncongruent,right,1,598.7979
rightIncongruent,right,1,612.8429
leftCongruent,left,1,446.3904
rightCongruent,right,1,431.1895
leftCongruent,left,1,389.8754
rightIncongruent,right,1,417.7714
leftIncongruent,left,1,390.1688
leftCongruent,left,1,528.8676
rightIncongruent,right,1,724.9366
rightCongruent,right,1,528.5745
leftIncongruent,left,1,669.1653
rightIncongruent,right,1,459.8898
rightCongruent,right,1,682.3501
leftIncongruent,left,1,710.3936
rightCongruent,right,1,599.0683
rightIncongruent,right,1,473.4112
rightCongruent,right,1,529.301
leftCongruent,left,1,432.4972
rightIncongruent,right,1,473.8352
leftIncongruent,left,1,515.2312
leftCongruent,left,1,431.8116
leftIncongruent,left,1,431.7466
rightCongruent,right,1,459.8083
rightCongruent,right,1,361.9607
leftCongruent,left,1,417.5733
leftIncongruent,left,1,431.9738
leftCongruent,left,1,376.7713
leftIncongruent,left,1,376.3217
rightIncongruent,right,1,445.2918
rightCongruent,right,1,404.2494
