stimulus, response, TF, RT
leftCongruent,left,1,3918.1107
rightCongruent,right,1,795.0646
rightIncongruent,right,1,697.5481
leftCongruent,left,1,613.6558
rightCongruent,right,1,600.129
leftIncongruent,left,1,613.5338
rightIncongruent,right,1,586.2862
leftIncongruent,left,1,627.1571
leftIncongruent,left,1,558.4703
rightIncongruent,right,1,544.4663
rightIncongruent,right,1,558.2685
rightCongruent,right,1,530.4873
rightIncongruent,right,1,557.8768
leftIncongruent,left,1,558.4245
rightIncongruent,right,1,530.0863
leftCongruent,left,1,446.9232
rightIncongruent,right,1,321.3337
leftCongruent,left,1,419.0797
rightIncongruent,right,1,460.0881
leftIncongruent,left,1,487.6968
leftCongruent,left,1,544.8905
leftIncongruent,left,1,599.9528
leftIncongruent,left,1,613.4609
rightIncongruent,right,1,530.4516
leftIncongruent,left,1,544.0896
leftCongruent,left,1,447.3124
leftCongruent,left,1,544.2541
rightCongruent,right,1,474.5479
rightCongruent,right,1,501.8872
leftIncongruent,left,1,432.7431
leftIncongruent,left,1,530.0145
rightCongruent,right,1,516.4798
rightIncongruent,right,1,460.5397
leftCongruent,left,1,447.0278
rightCongruent,right,1,460.9841
leftCongruent,left,1,363.195
leftCongruent,left,1,432.9207
rightCongruent,right,1,446.4498
rightCongruent,right,1,377.2473
rightCongruent,right,1,460.828
