stimulus, response, TF, RT
rightIncongruent,right,1,796.3277
leftIncongruent,left,1,530.2776
rightCongruent,right,1,502.1149
rightCongruent,right,1,446.1692
leftIncongruent,left,1,446.2995
leftCongruent,left,1,474.4035
rightIncongruent,right,1,487.8696
rightCongruent,right,1,446.8197
leftCongruent,left,1,502.0319
leftIncongruent,left,1,544.0341
leftCongruent,left,1,474.2264
rightIncongruent,right,1,487.4531
rightIncongruent,right,1,501.7732
leftCongruent,left,1,445.9923
leftCongruent,left,1,404.4749
rightCongruent,right,1,432.4883
leftIncongruent,left,1,487.806
rightIncongruent,right,1,488.4038
leftCongruent,left,1,390.1365
leftIncongruent,left,1,404.7858
rightCongruent,right,1,501.6941
rightIncongruent,right,1,488.0541
leftCongruent,left,1,432.239
rightCongruent,right,1,404.7482
rightIncongruent,right,1,432.0684
leftCongruent,left,1,474.0512
leftIncongruent,left,1,529.8425
rightCongruent,right,1,529.5949
leftCongruent,left,1,404.3197
rightIncongruent,right,1,515.7073
leftCongruent,left,1,390.7727
rightIncongruent,right,1,404.2549
leftIncongruent,left,1,390.3492
leftIncongruent,left,1,515.8276
rightCongruent,right,1,460.2287
leftIncongruent,left,1,376.7743
leftIncongruent,left,1,418.1781
rightCongruent,right,1,613.5334
rightIncongruent,right,1,446.0425
rightCongruent,right,1,487.9369
