stimulus, response, TF, RT
leftCongruent,left,1,368.5854
rightCongruent,right,1,418.858
rightIncongruent,right,1,460.2496
leftIncongruent,left,1,432.8387
rightIncongruent,right,1,418.1615
leftIncongruent,left,1,403.8967
leftIncongruent,left,1,405.7182
leftIncongruent,left,1,364.1591
leftIncongruent,left,1,419.5613
leftCongruent,left,1,447.2973
rightIncongruent,right,1,475.3662
rightCongruent,right,1,405.7148
rightIncongruent,right,1,405.8465
leftCongruent,left,1,391.88
leftCongruent,left,1,517.1651
rightCongruent,right,1,446.3812
leftCongruent,left,1,392.0653
rightCongruent,right,1,419.6325
leftCongruent,left,1,419.5096
rightIncongruent,right,1,405.3646
rightCongruent,right,1,392.0055
rightCongruent,right,1,377.8131
rightCongruent,right,1,406.2055
leftIncongruent,left,1,446.8989
leftCongruent,left,1,405.4424
leftCongruent,left,1,419.4755
rightIncongruent,right,1,391.9975
rightCongruent,right,1,405.6015
rightIncongruent,right,1,502.9808
rightCongruent,right,1,378.0347
leftIncongruent,left,1,461.9062
rightIncongruent,right,1,753.0725
leftIncongruent,left,1,447.7807
leftCongruent,left,1,586.3135
leftIncongruent,left,1,629.1541
rightIncongruent,right,1,474.8823
rightIncongruent,right,1,433.5554
leftIncongruent,left,1,447.66
leftCongruent,left,1,488.7698
rightCongruent,right,1,405.3685
