stimulus, response, TF, RT
leftIncongruent,left,1,815.817
leftIncongruent,left,1,544.3368
rightCongruent,right,1,878.7772
leftCongruent,left,1,502.4442
leftCongruent,left,1,475.2611
rightIncongruent,right,1,391.3659
leftIncongruent,left,1,447.5573
rightCongruent,right,1,390.9074
rightIncongruent,left,0,447.2244
leftCongruent,left,1,628.0325
rightIncongruent,right,1,530.9102
leftCongruent,left,1,474.9828
rightCongruent,right,1,530.6007
leftIncongruent,left,1,585.7476
leftIncongruent,left,1,531.0044
rightCongruent,right,1,516.8697
rightIncongruent,right,1,628.2194
rightIncongruent,right,1,502.2604
rightIncongruent,right,1,572.7536
leftIncongruent,left,1,530.3381
rightIncongruent,right,1,460.8624
rightCongruent,right,1,558.5887
rightCongruent,right,1,545.3436
leftIncongruent,left,1,531.06
rightCongruent,right,1,502.89
rightIncongruent,right,1,488.5632
leftCongruent,left,1,502.7
leftCongruent,left,1,460.4877
leftIncongruent,left,1,600.445
leftCongruent,left,1,572.645
rightIncongruent,right,1,447.4611
leftIncongruent,left,1,488.2653
leftIncongruent,left,1,489.3662
rightIncongruent,right,1,447.0259
leftCongruent,left,1,405.3285
rightCongruent,right,1,447.2045
leftCongruent,left,1,489.3823
leftCongruent,left,1,461.0304
rightCongruent,right,1,460.7491
rightCongruent,right,1,503.0131
