stimulus, response, TF, RT
leftIncongruent,left,1,537.6599
rightCongruent,right,1,419.2539
leftIncongruent,left,1,475.1941
rightIncongruent,right,1,377.8484
leftCongruent,left,1,377.7418
leftCongruent,left,1,322.0305
leftIncongruent,left,1,335.9657
leftIncongruent,left,1,419.5409
rightCongruent,right,1,391.9034
rightIncongruent,right,1,349.258
rightIncongruent,right,1,335.9316
rightIncongruent,right,1,363.7687
rightIncongruent,right,1,405.4308
leftCongruent,left,1,391.5167
leftIncongruent,left,1,488.9358
rightCongruent,right,1,405.6365
leftIncongruent,left,1,391.6263
rightCongruent,right,1,377.7421
leftCongruent,left,1,446.9249
leftCongruent,left,1,391.3955
rightIncongruent,right,1,419.3881
leftIncongruent,left,1,335.6944
leftCongruent,left,1,377.6848
rightCongruent,right,1,391.9269
leftIncongruent,left,1,335.9535
rightIncongruent,right,1,377.2536
rightCongruent,right,1,363.2782
leftCongruent,left,1,349.6791
rightCongruent,right,1,335.8739
rightCongruent,right,1,475.1395
leftIncongruent,left,1,350.0355
leftIncongruent,left,1,349.3441
rightIncongruent,right,1,294.0244
rightIncongruent,right,1,321.9013
leftCongruent,left,1,279.9016
leftCongruent,left,1,321.9935
leftCongruent,left,1,363.6908
rightCongruent,right,1,447.7096
rightIncongruent,right,1,377.7043
rightCongruent,right,1,363.5299
