stimulus, response, TF, RT
rightIncongruent,right,1,1121.6633
rightIncongruent,right,1,655.7702
rightCongruent,right,1,613.8792
leftIncongruent,left,1,655.2567
leftIncongruent,left,1,460.7751
leftCongruent,left,1,474.2126
leftCongruent,left,1,487.908
rightCongruent,right,1,516.2822
rightCongruent,right,1,529.8157
rightIncongruent,right,1,488.5946
leftCongruent,left,1,460.0332
rightCongruent,right,1,585.4216
leftCongruent,left,1,572.0183
leftCongruent,left,1,641.1139
leftIncongruent,left,1,474.4243
rightIncongruent,right,1,530.3017
leftIncongruent,left,1,502.5499
leftCongruent,left,1,585.5388
rightCongruent,right,1,572.1515
leftIncongruent,left,1,446.2756
leftIncongruent,left,1,558.3898
leftCongruent,left,1,446.7707
rightIncongruent,right,1,488.0788
leftIncongruent,left,1,472.517
rightCongruent,right,1,488.1675
leftCongruent,left,1,516.1271
leftIncongruent,right,0,474.697
rightIncongruent,right,1,558.1016
leftIncongruent,left,1,488.0695
rightIncongruent,right,1,627.4133
leftCongruent,left,1,502.182
rightCongruent,right,1,516.3456
rightIncongruent,right,1,613.5936
leftIncongruent,left,1,697.0041
rightIncongruent,right,1,502.4689
rightCongruent,right,1,766.7049
rightCongruent,right,1,544.1708
rightCongruent,right,1,530.5674
leftCongruent,left,1,530.4197
rightIncongruent,right,1,571.6381
