stimulus, response, TF, RT
leftIncongruent,right,0,2984.9029
rightIncongruent,right,1,849.7205
leftIncongruent,left,1,1782.1486
rightCongruent,right,1,626.6563
rightCongruent,right,1,807.9197
leftCongruent,left,1,765.5552
rightIncongruent,right,1,627.1743
leftIncongruent,left,1,737.7874
leftCongruent,left,1,807.5168
rightIncongruent,right,1,766.3671
rightCongruent,right,1,542.8076
rightCongruent,right,1,933.307
rightIncongruent,right,1,807.1067
rightCongruent,right,1,779.6621
leftCongruent,left,1,821.8731
leftCongruent,left,1,793.3608
leftIncongruent,left,1,529.8516
rightIncongruent,right,1,779.9234
leftIncongruent,left,1,765.8767
rightIncongruent,right,1,724.5516
leftIncongruent,left,1,1057.9857
leftCongruent,left,1,835.5785
leftCongruent,left,1,626.6565
leftCongruent,left,1,821.5284
leftIncongruent,left,1,710.5314
rightIncongruent,right,1,710.2417
leftIncongruent,left,1,668.5379
rightIncongruent,right,1,654.5109
leftCongruent,left,1,640.704
rightCongruent,right,1,571.4286
rightIncongruent,right,1,557.214
rightCongruent,right,1,779.9816
leftCongruent,left,1,1726.2197
rightIncongruent,right,1,1698.2237
rightCongruent,right,1,2074.8923
rightCongruent,right,1,1420.3076
leftIncongruent,left,1,1197.3669
leftIncongruent,left,1,1155.4921
leftCongruent,left,1,1072.2633
rightCongruent,right,1,863.1667
