stimulus, response, TF, RT
leftCongruent,left,1,337.4859
leftIncongruent,left,1,544.7866
rightCongruent,right,1,377.8102
leftCongruent,left,1,377.3098
rightCongruent,right,1,321.8765
leftCongruent,left,1,391.7863
leftCongruent,left,1,390.76
rightIncongruent,right,1,335.5411
rightCongruent,right,1,433.0954
leftIncongruent,left,1,377.7996
rightIncongruent,right,1,335.2863
rightIncongruent,left,0,293.426
leftIncongruent,left,1,419.2413
rightIncongruent,right,1,377.4447
rightCongruent,right,1,391.1987
rightIncongruent,right,1,419.3052
rightCongruent,right,1,349.4774
rightCongruent,right,1,349.8933
leftIncongruent,left,1,377.3723
leftIncongruent,left,1,349.6067
leftCongruent,left,1,377.7759
leftIncongruent,left,1,683.355
rightCongruent,right,1,405.5167
leftIncongruent,left,1,432.6125
leftCongruent,left,1,335.6941
leftIncongruent,left,1,432.9863
leftCongruent,left,1,405.1837
rightIncongruent,right,1,419.195
rightIncongruent,right,1,419.2643
rightIncongruent,right,1,404.9798
leftCongruent,left,1,293.4965
leftIncongruent,left,1,335.75
leftCongruent,left,1,293.9672
rightCongruent,right,1,391.3704
leftIncongruent,left,1,308.1833
rightCongruent,right,1,391.0495
rightCongruent,right,1,419.3942
rightIncongruent,right,1,1032.2551
leftCongruent,left,1,349.4245
rightIncongruent,right,1,349.4084
